"DisplayName","InstallLocation"
"Microsoft.NET.Sdk.iOS.Manifest-9.0.100 (x64)",""
"CUBLAS Runtime","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"CUBLAS Development","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVIDIA CUDA Development 12.5","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVIDIA CUDA Documentation 11.8","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v11.8"
"NVIDIA CUDA Documentation 12.5","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"CUDART Runtime","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVIDIA CUDA Runtime 12.5","C:\Program Files\NVIDIA Corporation\Installer2\CUDARuntimes_12.5.{574EAD3B-C71D-44F8-8AAE-F4B4AC8E28CC}"
"CUDA Toolkit","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v11.8"
"NVIDIA CUDA Toolkit 12.5","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"CUDA Profiler API","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"${{arpDisplayName}}","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"CUFFT Development","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"cuobjdump","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"CUPTI","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"CURAND Runtime","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"CURAND Development","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"CUSOLVER Runtime","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"CUSOLVER Development","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"CUSPARSE Runtime","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"CUSPARSE Development","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"cuxxfilt","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"Demo Suite","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVIDIA Graphics Driver 572.60","C:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{5C30FEC6-F283-4A35-8E00-56D2C0AD69A6}"
